Date,Open,High,Low,Close,Adj Close,Volume
2015-07-15,3.136900,3.159300,3.117800,3.136500,3.136500,0
2015-07-16,3.135000,3.147800,3.126000,3.135600,3.135600,0
2015-07-17,3.151100,3.197400,3.132900,3.150600,3.150600,0
2015-07-20,3.186300,3.220700,3.170300,3.185200,3.185200,0
2015-07-21,3.191100,3.196900,3.166900,3.194500,3.194500,0
2015-07-22,3.151000,3.223500,3.151000,3.171900,3.171900,0
2015-07-23,3.220300,3.294200,3.198500,3.219800,3.219800,0
2015-07-24,3.284300,3.334500,3.266600,3.284200,3.284200,0
2015-07-27,3.350400,3.375700,3.343200,3.356000,3.356000,0
2015-07-28,3.361800,3.400200,3.340300,3.361700,3.361700,0
2015-07-29,3.354700,3.371100,3.326600,3.354500,3.354500,0
2015-07-30,3.323800,3.372800,3.307900,3.323900,3.323900,0
2015-07-31,3.370100,3.410400,3.331500,3.370800,3.370800,0
2015-08-03,3.424300,3.456800,3.400800,3.419400,3.419400,0
2015-08-04,3.449500,3.478600,3.427000,3.448800,3.448800,0
2015-08-05,3.466700,3.494700,3.448300,3.466300,3.466300,0
2015-08-06,3.484400,3.562900,3.477200,3.483800,3.483800,0
2015-08-07,3.531000,3.563000,3.490000,3.531600,3.531600,0
2015-08-10,3.507600,3.522500,3.461000,3.531600,3.531600,0
2015-08-11,3.436000,3.510900,3.418600,3.435700,3.435700,0
2015-08-12,3.471600,3.500700,3.445800,3.471000,3.471000,0
2015-08-13,3.450600,3.523200,3.450600,3.475100,3.475100,0
2015-08-14,3.519700,3.521000,3.458500,3.519300,3.519300,0
2015-08-17,3.484300,3.501900,3.458700,3.477900,3.477900,0
2015-08-18,3.469200,3.499300,3.458800,3.476600,3.476600,0
2015-08-19,3.464600,3.504300,3.455000,3.464900,3.464900,0
2015-08-20,3.488400,3.514800,3.456600,3.488300,3.488300,0
2015-08-21,3.458400,3.498200,3.441400,3.457800,3.457800,0
2015-08-24,3.501700,3.575600,3.484800,3.498000,3.498000,0
2015-08-25,3.547400,3.553700,3.510400,3.548100,3.548100,0
2015-08-26,3.612900,3.649800,3.582800,3.611500,3.611500,0
2015-08-27,3.594100,3.594100,3.541500,3.594100,3.594100,0
2015-08-28,3.551000,3.595500,3.537700,3.550200,3.550200,0
2015-08-31,3.559500,3.677000,3.559500,3.578700,3.578700,0
2015-09-01,3.617800,3.673700,3.616600,3.619200,3.619200,0
2015-09-02,3.692500,3.750300,3.680300,3.692500,3.692500,0
2015-09-03,3.753300,3.811100,3.736700,3.753900,3.753900,0
2015-09-04,3.736300,3.809900,3.718000,3.735000,3.735000,0
2015-09-07,3.839500,3.840800,3.816900,3.839700,3.839700,0
2015-09-08,3.835300,3.836100,3.778300,3.835000,3.835000,0
2015-09-09,3.786300,3.818500,3.762800,3.815900,3.815900,0
2015-09-10,3.778300,3.904100,3.773700,3.778700,3.778700,0
2015-09-11,3.848900,3.889000,3.816900,3.848100,3.848100,0
